sport,event,medal,rank,country_name,country_code,athlete_full_name
Shooting,10m Air Pistol women,,22,Thailand,THA,Tanyaporn PRUCKSAKORN
Shooting,25m Pistol Women,2.0,2,Republic of Korea,KOR,Minjung KIM
Shooting,25m Pistol Women,,36,Belarus,BLR,Viktoria CHAIKA
Shooting,25m Pistol Women,3.0,3,People's Republic of China,CHN,Jiaruixuan XIAO
Shooting,25m Pistol Women,,44,Albania,ALB,Manuela DELILAJ
Shooting,25m Pistol Women,,29,Austria,AUT,Sylvia STEINER
Shooting,25m Pistol Women,,9,Serbia,SRB,Zorana ARUNOVIC
Shooting,25m Pistol Women,,14,Cuba,CUB,Laina PEREZ
Shooting,25m Pistol Women,,23,Ukraine,UKR,Olena KOSTEVYCH
Shooting,25m Pistol Women,,40,Japan,JPN,Chizuru SASAKI
Shooting,25m Pistol Women,,38,Ecuador,ECU,Diana DURANGO FLORES
Shooting,25m Pistol Women,,27,Bulgaria,BUL,Maria GROZDEVA
